Pair,Price,Time
ETHBTC,0.07145567,2022-10-25 19:47:03 +0300
LTCBTC,0.00272226,2022-10-25 19:47:03 +0300
BNBBTC,0.01432473,2022-10-25 19:47:04 +0300
NEOBTC,0.00042800,2022-10-25 19:47:04 +0300
QTUMETH,0.00194921,2022-10-25 19:47:04 +0300
EOSETH,0.00076895,2022-10-25 19:47:05 +0300
SNTETH,0.00002007,2022-10-25 19:47:05 +0300
BNTETH,0.00030623,2022-10-25 19:47:06 +0300
BCCBTC,0.07804368,2022-10-25 19:47:06 +0300
GASBTC,0.00011854,2022-10-25 19:47:06 +0300
BNBETH,0.20043385,2022-10-25 19:47:07 +0300
BTCUSDT,19793.45221702,2022-10-25 19:47:07 +0300
ETHUSDT,1414.37264620,2022-10-25 19:47:07 +0300
HSRBTC,0.00049438,2022-10-25 19:47:08 +0300
OAXETH,0.00017780,2022-10-25 19:47:08 +0300
DNTETH,0.00002801,2022-10-25 19:47:09 +0300
MCOETH,0.00571529,2022-10-25 19:47:09 +0300
ICNETH,0.00166717,2022-10-25 19:47:09 +0300
MCOBTC,0.00021140,2022-10-25 19:47:10 +0300
WTCBTC,0.00001350,2022-10-25 19:47:10 +0300
WTCETH,0.00023700,2022-10-25 19:47:10 +0300
LRCBTC,0.00001320,2022-10-25 19:47:11 +0300
LRCETH,0.00018489,2022-10-25 19:47:11 +0300
QTUMBTC,0.00013919,2022-10-25 19:47:12 +0300
YOYOBTC,0.00000009,2022-10-25 19:47:12 +0300
OMGBTC,0.00008200,2022-10-25 19:47:12 +0300
OMGETH,0.00115000,2022-10-25 19:47:13 +0300
ZRXBTC,0.00001273,2022-10-25 19:47:14 +0300
ZRXETH,0.00017827,2022-10-25 19:47:14 +0300
STRATBTC,0.00003120,2022-10-25 19:47:15 +0300
STRATETH,0.00106190,2022-10-25 19:47:15 +0300
SNGLSBTC,0.00000013,2022-10-25 19:47:15 +0300
SNGLSETH,0.00005306,2022-10-25 19:47:16 +0300
BQXBTC,0.00008739,2022-10-25 19:47:16 +0300
BQXETH,0.00126650,2022-10-25 19:47:17 +0300
