Pair,Price,Time
ETHBTC,0.06923845,2022-10-24 20:56:03 +0300
LTCBTC,0.00271519,2022-10-24 20:56:04 +0300
BNBBTC,0.01415749,2022-10-24 20:56:04 +0300
NEOBTC,0.00042700,2022-10-24 20:56:05 +0300
QTUMETH,0.00200500,2022-10-24 20:56:05 +0300
EOSETH,0.00079887,2022-10-24 20:56:05 +0300
SNTETH,0.00002063,2022-10-24 20:56:06 +0300
BNTETH,0.00031700,2022-10-24 20:56:06 +0300
BCCBTC,0.07804368,2022-10-24 20:56:06 +0300
GASBTC,0.00012323,2022-10-24 20:56:07 +0300
BNBETH,0.20437934,2022-10-24 20:56:07 +0300
BTCUSDT,19291.20692127,2022-10-24 20:56:08 +0300
ETHUSDT,1335.60226140,2022-10-24 20:56:08 +0300
HSRBTC,0.00049438,2022-10-24 20:56:08 +0300
OAXETH,0.00017780,2022-10-24 20:56:09 +0300
DNTETH,0.00002801,2022-10-24 20:56:09 +0300
MCOETH,0.00571529,2022-10-24 20:56:10 +0300
ICNETH,0.00166717,2022-10-24 20:56:10 +0300
MCOBTC,0.00021140,2022-10-24 20:56:10 +0300
WTCBTC,0.00001406,2022-10-24 20:56:11 +0300
WTCETH,0.00023700,2022-10-24 20:56:11 +0300
LRCBTC,0.00001282,2022-10-24 20:56:11 +0300
LRCETH,0.00018510,2022-10-24 20:56:12 +0300
QTUMBTC,0.00013900,2022-10-24 20:56:12 +0300
YOYOBTC,0.00000009,2022-10-24 20:56:13 +0300
OMGBTC,0.00008100,2022-10-24 20:56:13 +0300
OMGETH,0.00116800,2022-10-24 20:56:13 +0300
ZRXBTC,0.00001257,2022-10-24 20:56:14 +0300
ZRXETH,0.00018185,2022-10-24 20:56:14 +0300
STRATBTC,0.00003120,2022-10-24 20:56:15 +0300
STRATETH,0.00106190,2022-10-24 20:56:15 +0300
SNGLSBTC,0.00000013,2022-10-24 20:56:15 +0300
SNGLSETH,0.00005306,2022-10-24 20:56:16 +0300
BQXBTC,0.00008739,2022-10-24 20:56:16 +0300
BQXETH,0.00126650,2022-10-24 20:56:17 +0300
KNCBTC,0.00004331,2022-10-24 20:56:18 +0300
KNCETH,0.00062780,2022-10-24 20:56:18 +0300
FUNBTC,0.00000029,2022-10-24 20:56:18 +0300
FUNETH,0.00000542,2022-10-24 20:56:19 +0300
SNMBTC,0.00001274,2022-10-24 20:56:19 +0300
SNMETH,0.00004986,2022-10-24 20:56:20 +0300
NEOETH,0.00616000,2022-10-24 20:56:21 +0300
IOTABTC,0.00001272,2022-10-24 20:56:21 +0300
IOTAETH,0.00018330,2022-10-24 20:56:21 +0300
LINKBTC,0.00035835,2022-10-24 20:56:22 +0300
LINKETH,0.00517505,2022-10-24 20:56:22 +0300
XVGBTC,0.00000015,2022-10-24 20:56:23 +0300
XVGETH,0.00000235,2022-10-24 20:56:23 +0300
SALTBTC,0.00004262,2022-10-24 20:56:23 +0300
SALTETH,0.00114313,2022-10-24 20:56:24 +0300
MDABTC,0.00000379,2022-10-24 20:56:24 +0300
MDAETH,0.00181150,2022-10-24 20:56:24 +0300
MTLBTC,0.00005104,2022-10-24 20:56:25 +0300
MTLETH,0.00073001,2022-10-24 20:56:25 +0300
SUBBTC,0.00000461,2022-10-24 20:56:26 +0300
SUBETH,0.00012478,2022-10-24 20:56:26 +0300
EOSBTC,0.00005530,2022-10-24 20:56:26 +0300
SNTBTC,0.00000143,2022-10-24 20:56:27 +0300
ETCETH,0.01691612,2022-10-24 20:56:27 +0300
ETCBTC,0.00117103,2022-10-24 20:56:28 +0300
MTHBTC,0.00000024,2022-10-24 20:56:28 +0300
MTHETH,0.00004135,2022-10-24 20:56:28 +0300
ENGBTC,0.00006200,2022-10-24 20:56:29 +0300
ENGETH,0.00186011,2022-10-24 20:56:29 +0300
DNTBTC,0.00000188,2022-10-24 20:56:29 +0300
ZECBTC,0.00271249,2022-10-24 20:56:30 +0300
ZECETH,0.03916000,2022-10-24 20:56:30 +0300
BNTBTC,0.00002192,2022-10-24 20:56:31 +0300
ASTBTC,0.00000640,2022-10-24 20:56:31 +0300
ASTETH,0.00006960,2022-10-24 20:56:31 +0300
DASHBTC,0.00208820,2022-10-24 20:56:32 +0300
DASHETH,0.03022000,2022-10-24 20:56:32 +0300
OAXBTC,0.00000920,2022-10-24 20:56:33 +0300
ICNBTC,0.00005742,2022-10-24 20:56:33 +0300
BTGBTC,0.00091600,2022-10-24 20:56:33 +0300
BTGETH,0.05271306,2022-10-24 20:56:34 +0300
EVXBTC,0.00000279,2022-10-24 20:56:34 +0300
EVXETH,0.00062490,2022-10-24 20:56:34 +0300
REQBTC,0.00000544,2022-10-24 20:56:35 +0300
REQETH,0.00005020,2022-10-24 20:56:35 +0300
VIBBTC,0.00000314,2022-10-24 20:56:36 +0300
VIBETH,0.00004569,2022-10-24 20:56:36 +0300
